CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment_Code,Segment
10129,34,15,227.85,3,4,3,10,343,Loyal Customers
10130,19,11,276.93,4,2,4,10,424,New Customers
10131,28,9,151.68,4,1,2,7,412,New Customers
10132,24,11,229.98,4,2,3,9,423,New Customers
10133,11,14,280.28,5,4,4,13,544,Champions
10134,191,4,47.84,1,1,1,3,111,Lost
10135,54,12,227.32,3,3,3,9,333,Loyal Customers
10136,6,10,106.1,5,2,1,8,521,New Customers
10137,257,7,88.55,1,1,1,3,111,Lost
10138,46,16,337.66,3,5,5,13,355,Loyal Customers
10139,125,10,133.68,2,2,1,5,221,Hibernating
10140,390,6,32.05,1,1,1,3,111,Lost
10141,16,12,92.5,4,3,1,8,431,Loyal Customers
10142,85,15,238.08,2,4,3,9,243,At Risk
10143,2,13,293.59,5,3,4,12,534,Loyal Customers
10144,57,9,137.85,3,1,1,5,311,Promising
10145,59,8,134.76,3,1,1,5,311,Promising
10146,103,14,305.43,2,4,4,10,244,At Risk
10147,232,15,264.69,1,4,4,9,144,At Risk
10148,114,12,141.62,2,3,1,6,231,Hibernating
10149,231,7,228.35,1,1,3,5,113,Hibernating
10150,11,10,306.67,5,2,4,11,524,New Customers
10151,33,13,296.12,3,3,4,10,334,Loyal Customers
10152,33,11,357.58,3,2,5,10,325,Potential Loyalists
10153,107,8,160.14,2,1,2,5,212,Hibernating
10154,23,12,740.69,4,3,5,12,435,Loyal Customers
10155,112,8,177.2,2,1,2,5,212,Hibernating
10156,29,10,186.4,4,2,2,8,422,New Customers
10157,22,12,90.45,4,3,1,8,431,Loyal Customers
10158,51,14,402.55,3,4,5,12,345,Loyal Customers
10159,102,12,286.65,2,3,4,9,234,At Risk
10160,96,16,361.1,2,5,5,12,255,At Risk
10161,233,13,295.34,1,3,4,8,134,At Risk
10162,78,7,77.12,2,1,1,4,211,Hibernating
10163,317,7,125.95,1,1,1,3,111,Lost
10164,73,10,208.4,2,2,3,7,223,Need Attention
10165,7,14,280.55,5,4,4,13,544,Champions
10166,126,12,472.76,2,3,5,10,235,At Risk
10167,75,15,389.35,2,4,5,11,245,At Risk
10168,232,12,312.29,1,3,4,8,134,At Risk
10169,518,7,216.75,1,1,3,5,113,Hibernating
10170,57,8,94.97,3,1,1,5,311,Promising
10171,16,10,124.5,4,2,1,7,421,New Customers
10172,89,11,129.9,2,2,1,5,221,Hibernating
10173,17,15,277.05,4,4,4,12,444,Champions
10174,10,12,171.18,5,3,2,10,532,Loyal Customers
10175,18,12,181.49,4,3,2,9,432,Loyal Customers
10176,19,12,349.65,4,3,5,12,435,Loyal Customers
10177,15,15,355.07,4,4,5,13,445,Champions
10178,31,8,188.68,4,1,2,7,412,New Customers
10179,24,14,306.02,4,4,4,12,444,Champions
10180,29,14,518.52,4,4,5,13,445,Champions
10181,21,17,358.14,4,5,5,14,455,Champions
10182,51,11,136.3,3,2,1,6,321,Promising
10183,99,6,114.34,2,1,1,4,211,Hibernating
10184,144,9,84.5,1,1,1,3,111,Lost
10185,95,12,215.8,2,3,3,8,233,At Risk
10186,44,13,292.23,3,3,4,10,334,Loyal Customers
10187,64,14,331.88,2,4,5,11,245,At Risk
10188,70,12,176.65,2,3,2,7,232,Need Attention
10189,236,10,348.02,1,2,5,8,125,Need Attention
10190,93,10,205.65,2,2,3,7,223,Need Attention
10191,291,11,190.28,1,2,2,5,122,Lost
10192,2,6,179.46,5,1,2,8,512,New Customers
10193,64,18,392.75,2,5,5,12,255,At Risk
10194,380,6,118.84,1,1,1,3,111,Lost
10195,49,12,222.35,3,3,3,9,333,Loyal Customers
10196,82,16,292.29,2,5,4,11,254,At Risk
10197,25,10,222.97,4,2,3,9,423,New Customers
10198,55,8,244.45,3,1,3,7,313,Potential Loyalists
10199,165,5,57.53,1,1,1,3,111,Lost
10200,209,8,80.53,1,1,1,3,111,Lost
10201,57,14,198.69,3,4,3,10,343,Loyal Customers
10202,125,14,269.74,2,4,4,10,244,At Risk
10203,37,13,200.05,3,3,3,9,333,Loyal Customers
10204,53,13,199.05,3,3,3,9,333,Loyal Customers
10205,27,15,183.5,4,4,2,10,442,Loyal Customers
10206,28,13,264.64,4,3,4,11,434,Loyal Customers
10207,18,15,260.68,4,4,4,12,444,Champions
10208,81,11,360.81,2,2,5,9,225,Need Attention
10209,30,7,169.45,4,1,2,7,412,New Customers
10210,17,12,286.96,4,3,4,11,434,Loyal Customers
10211,14,18,405.64,5,5,5,15,555,Champions
10212,95,10,128.55,2,2,1,5,221,Hibernating
10213,388,9,212.72,1,1,3,5,113,Hibernating
10214,100,11,207.72,2,2,3,7,223,Need Attention
10215,425,6,91.87,1,1,1,3,111,Lost
10216,24,11,420.93,4,2,5,11,425,New Customers
10217,139,10,141.35,1,2,1,4,121,Lost
10218,5,16,293.66,5,5,4,14,554,Champions
10219,39,18,408.24,3,5,5,13,355,Loyal Customers
10220,1,10,129.31,5,2,1,8,521,New Customers
10221,85,8,156.64,2,1,2,5,212,Hibernating
10222,13,18,428.65,5,5,5,15,555,Champions
10223,121,11,123.08,2,2,1,5,221,Hibernating
10224,57,11,233.56,3,2,3,8,323,Potential Loyalists
10225,54,11,206.35,3,2,3,8,323,Potential Loyalists
10226,38,5,53.65,3,1,1,5,311,Promising
10227,867,8,58.85,1,1,1,3,111,Lost
10228,153,10,301.24,1,2,4,7,124,Need Attention
10229,22,12,206.73,4,3,3,10,433,Loyal Customers
10230,363,8,87.64,1,1,1,3,111,Lost
10231,35,11,203.42,3,2,3,8,323,Potential Loyalists
10232,4,15,381.53,5,4,5,14,545,Champions
10233,21,10,206.89,4,2,3,9,423,New Customers
10234,19,15,339.15,4,4,5,13,445,Champions
10235,25,8,126.7,4,1,1,6,411,New Customers
10236,57,16,503.26,3,5,5,13,355,Loyal Customers
10237,14,13,133.09,5,3,1,9,531,Loyal Customers
10238,53,8,111.7,3,1,1,5,311,Promising
10239,95,12,205.74,2,3,3,8,233,At Risk
10240,33,9,198.94,3,1,3,7,313,Potential Loyalists
10241,107,9,92.8,2,1,1,4,211,Hibernating
10242,143,12,296.59,1,3,4,8,134,At Risk
10243,6,20,455.63,5,5,5,15,555,Champions
10244,78,13,252.21,2,3,4,9,234,At Risk
10245,6,13,332.5,5,3,5,13,535,Loyal Customers
10246,157,12,289.65,1,3,4,8,134,At Risk
10247,8,6,87.6,5,1,1,7,511,New Customers
10248,159,12,329.3,1,3,5,9,135,At Risk
10249,22,11,161.83,4,2,2,8,422,New Customers
10250,19,9,181.37,4,1,2,7,412,New Customers
10251,43,11,113.74,3,2,1,6,321,Promising
10252,137,22,515.45,1,5,5,11,155,At Risk
10253,45,9,120.39,3,1,1,5,311,Promising
10254,161,15,356.8,1,4,5,10,145,At Risk
10255,26,12,295.03,4,3,4,11,434,Loyal Customers
10256,23,15,251.72,4,4,4,12,444,Champions
10257,20,18,332.99,4,5,5,14,455,Champions
10258,42,22,550.39,3,5,5,13,355,Loyal Customers
10259,2,12,185.65,5,3,2,10,532,Loyal Customers
10260,146,13,273.3,1,3,4,8,134,At Risk
10261,117,15,364.37,2,4,5,11,245,At Risk
10262,22,16,443.28,4,5,5,14,455,Champions
10263,5,17,442.86,5,5,5,15,555,Champions
10264,169,8,141.4,1,1,1,3,111,Lost
10265,64,13,361.1,2,3,5,10,235,At Risk
10266,21,15,301.34,4,4,4,12,444,Champions
10267,69,15,185.27,2,4,2,8,242,Cant Lose Them
10268,8,14,190.8,5,4,2,11,542,Loyal Customers
10269,16,20,320.89,4,5,4,13,454,Champions
10270,75,10,132.0,2,2,1,5,221,Hibernating
10271,166,8,76.6,1,1,1,3,111,Lost
10272,53,8,158.33,3,1,2,6,312,Promising
10273,3,17,308.38,5,5,4,14,554,Champions
10274,512,6,287.55,1,1,4,6,114,Hibernating
10275,327,7,117.12,1,1,1,3,111,Lost
10276,120,9,145.3,2,1,2,5,212,Hibernating
10277,72,10,70.74,2,2,1,5,221,Hibernating
10278,22,10,193.63,4,2,2,8,422,New Customers
10279,25,14,271.42,4,4,4,12,444,Champions
10280,8,7,107.02,5,1,1,7,511,New Customers
10281,37,13,240.03,3,3,3,9,333,Loyal Customers
10282,14,11,307.55,5,2,4,11,524,New Customers
10283,155,12,403.96,1,3,5,9,135,At Risk
10284,19,13,166.55,4,3,2,9,432,Loyal Customers
10285,222,10,243.5,1,2,3,6,123,Hibernating
10286,1,16,237.6,5,5,3,13,553,Loyal Customers
10287,11,5,136.81,5,1,1,7,511,New Customers
10288,22,9,302.87,4,1,4,9,414,New Customers
10289,196,10,108.4,1,2,1,4,121,Lost
10290,8,11,247.5,5,2,3,10,523,New Customers
10291,32,16,376.14,4,5,5,14,455,Champions
10292,7,17,369.69,5,5,5,15,555,Champions
10293,19,8,216.69,4,1,3,8,413,New Customers
10294,53,10,234.57,3,2,3,8,323,Potential Loyalists
10295,382,6,105.0,1,1,1,3,111,Lost
10296,125,17,310.25,2,5,4,11,254,At Risk
10297,139,8,167.3,1,1,2,4,112,Lost
10298,302,15,243.55,1,4,3,8,143,At Risk
10299,22,12,278.35,4,3,4,11,434,Loyal Customers
10300,66,7,65.55,2,1,1,4,211,Hibernating
10301,1,16,251.21,5,5,4,14,554,Champions
10302,9,11,195.28,5,2,2,9,522,New Customers
10303,27,21,384.89,4,5,5,14,455,Champions
10304,285,9,320.82,1,1,4,6,114,Hibernating
10305,75,12,391.23,2,3,5,10,235,At Risk
10306,8,8,213.33,5,1,3,9,513,New Customers
10307,115,10,111.0,2,2,1,5,221,Hibernating
10308,9,14,464.52,5,4,5,14,545,Champions
10309,65,12,165.23,2,3,2,7,232,Need Attention
10310,59,10,217.34,3,2,3,8,323,Potential Loyalists
10311,120,11,168.25,2,2,2,6,222,Hibernating
10312,126,8,85.4,2,1,1,4,211,Hibernating
10313,333,14,287.64,1,4,4,9,144,At Risk
10314,39,13,578.7,3,3,5,11,335,Loyal Customers
10315,28,10,145.93,4,2,2,8,422,New Customers
10316,44,10,268.75,3,2,4,9,324,Potential Loyalists
10317,66,9,153.57,2,1,2,5,212,Hibernating
10318,33,16,273.45,3,5,4,12,354,Loyal Customers
10319,72,9,190.6,2,1,2,5,212,Hibernating
10320,2,14,297.33,5,4,4,13,544,Champions
10321,27,10,288.13,4,2,4,10,424,New Customers
10322,321,9,130.05,1,1,1,3,111,Lost
10323,45,12,137.15,3,3,1,7,331,Loyal Customers
10324,16,17,403.3,4,5,5,14,455,Champions
10325,1,9,425.25,5,1,5,11,515,New Customers
10326,56,12,175.68,3,3,2,8,332,Loyal Customers
10327,25,14,244.53,4,4,3,11,443,Loyal Customers
10328,54,14,451.77,3,4,5,12,345,Loyal Customers
10329,21,11,386.63,4,2,5,11,425,New Customers
10330,87,8,185.99,2,1,2,5,212,Hibernating
10331,38,12,189.98,3,3,2,8,332,Loyal Customers
10332,24,11,146.6,4,2,2,8,422,New Customers
10333,94,9,138.62,2,1,1,4,211,Hibernating
10334,38,12,153.27,3,3,2,8,332,Loyal Customers
10335,71,12,193.25,2,3,2,7,232,Need Attention
10336,40,12,177.65,3,3,2,8,332,Loyal Customers
10337,23,13,389.17,4,3,5,12,435,Loyal Customers
10338,8,10,241.49,5,2,3,10,523,New Customers
10339,158,15,363.71,1,4,5,10,145,At Risk
10340,12,15,226.05,5,4,3,12,543,Loyal Customers
10341,161,9,169.55,1,1,2,4,112,Lost
10342,11,15,121.23,5,4,1,10,541,Loyal Customers
10343,26,11,168.88,4,2,2,8,422,New Customers
10344,2,17,365.86,5,5,5,15,555,Champions
10345,184,13,347.78,1,3,5,9,135,At Risk
10346,14,10,212.55,5,2,3,10,523,New Customers
10347,8,11,124.75,5,2,1,8,521,New Customers
10348,74,13,540.78,2,3,5,10,235,At Risk
10349,81,12,443.35,2,3,5,10,235,At Risk
10350,52,9,152.8,3,1,2,6,312,Promising
10351,210,8,107.15,1,1,1,3,111,Lost
10352,48,10,163.71,3,2,2,7,322,Promising
10353,25,18,525.26,4,5,5,14,455,Champions
10354,54,12,396.49,3,3,5,11,335,Loyal Customers
10355,43,16,412.45,3,5,5,13,355,Loyal Customers
10356,73,7,88.24,2,1,1,4,211,Hibernating
10357,159,10,236.3,1,2,3,6,123,Hibernating
10358,258,16,603.37,1,5,5,11,155,At Risk
10359,54,9,117.95,3,1,1,5,311,Promising
10360,76,8,376.23,2,1,5,8,215,Need Attention
10361,87,12,174.48,2,3,2,7,232,Need Attention
10362,72,8,87.6,2,1,1,4,211,Hibernating
10363,60,14,210.68,3,4,3,10,343,Loyal Customers
10364,48,13,294.05,3,3,4,10,334,Loyal Customers
10365,60,21,212.77,3,5,3,11,353,Loyal Customers
10366,28,13,319.27,4,3,4,11,434,Loyal Customers
10367,115,11,292.93,2,2,4,8,224,Need Attention
10368,60,18,643.82,3,5,5,13,355,Loyal Customers
10369,46,13,246.59,3,3,3,9,333,Loyal Customers
10370,73,15,314.1,2,4,4,10,244,At Risk
10371,112,7,72.45,2,1,1,4,211,Hibernating
10372,1,13,147.36,5,3,2,10,532,Loyal Customers
10373,15,16,306.37,4,5,4,13,454,Champions
10374,3,12,371.48,5,3,5,13,535,Loyal Customers
10375,22,10,131.79,4,2,1,7,421,New Customers
10376,55,14,323.76,3,4,5,12,345,Loyal Customers
10377,9,13,188.01,5,3,2,10,532,Loyal Customers
10378,10,11,196.67,5,2,2,9,522,New Customers
10379,4,15,312.96,5,4,4,13,544,Champions
10380,934,3,51.1,1,1,1,3,111,Lost
10381,8,10,249.03,5,2,3,10,523,New Customers
10382,237,11,181.85,1,2,2,5,122,Lost
10383,136,13,236.34,1,3,3,7,133,At Risk
10384,56,12,175.53,3,3,2,8,332,Loyal Customers
10385,12,15,223.1,5,4,3,12,543,Loyal Customers
10386,39,12,239.45,3,3,3,9,333,Loyal Customers
10387,160,11,304.52,1,2,4,7,124,Need Attention
10388,23,8,104.58,4,1,1,6,411,New Customers
10389,8,12,150.35,5,3,2,10,532,Loyal Customers
10390,25,15,252.73,4,4,4,12,444,Champions
10391,127,7,45.4,2,1,1,4,211,Hibernating
10392,2,10,275.43,5,2,4,11,524,New Customers
10393,45,11,175.45,3,2,2,7,322,Promising
10394,32,14,340.52,4,4,5,13,445,Champions
10395,65,12,203.75,2,3,3,8,233,At Risk
10396,50,11,396.33,3,2,5,10,325,Potential Loyalists
10397,56,15,294.54,3,4,4,11,344,Loyal Customers
10398,20,11,111.55,4,2,1,7,421,New Customers
10399,7,10,143.12,5,2,1,8,521,New Customers
10400,245,14,196.46,1,4,2,7,142,Cant Lose Them
10401,10,13,172.0,5,3,2,10,532,Loyal Customers
10402,161,13,319.79,1,3,4,8,134,At Risk
10403,99,12,215.57,2,3,3,8,233,At Risk
10404,53,4,23.25,3,1,1,5,311,Promising
10405,20,10,377.6,4,2,5,11,425,New Customers
10406,20,12,300.14,4,3,4,11,434,Loyal Customers
10407,35,14,161.74,3,4,2,9,342,Loyal Customers
10408,6,20,418.79,5,5,5,15,555,Champions
10409,181,8,174.91,1,1,2,4,112,Lost
10410,204,8,260.6,1,1,4,6,114,Hibernating
10411,85,11,189.27,2,2,2,6,222,Hibernating
10412,39,9,128.52,3,1,1,5,311,Promising
10413,135,8,247.0,1,1,3,5,113,Hibernating
10414,265,8,273.83,1,1,4,6,114,Hibernating
10415,13,12,258.87,5,3,4,12,534,Loyal Customers
10416,42,13,217.18,3,3,3,9,333,Loyal Customers
10417,205,6,186.45,1,1,2,4,112,Lost
10418,6,17,340.52,5,5,5,15,555,Champions
10419,95,9,163.43,2,1,2,5,212,Hibernating
10420,46,16,323.32,3,5,5,13,355,Loyal Customers
10421,160,10,254.62,1,2,4,7,124,Need Attention
10422,34,12,218.18,3,3,3,9,333,Loyal Customers
10423,63,6,77.55,2,1,1,4,211,Hibernating
10424,287,7,187.8,1,1,2,4,112,Lost
10425,283,8,104.32,1,1,1,3,111,Lost
10426,46,17,475.12,3,5,5,13,355,Loyal Customers
10427,62,11,219.7,3,2,3,8,323,Potential Loyalists
10428,11,11,263.5,5,2,4,11,524,New Customers
10429,135,9,128.95,1,1,1,3,111,Lost
10430,61,5,111.24,3,1,1,5,311,Promising
10431,108,15,171.88,2,4,2,8,242,Cant Lose Them
10432,214,11,251.6,1,2,4,7,124,Need Attention
10433,27,10,186.28,4,2,2,8,422,New Customers
10434,34,7,179.95,3,1,2,6,312,Promising
10435,68,7,69.65,2,1,1,4,211,Hibernating
10436,25,12,172.48,4,3,2,9,432,Loyal Customers
10437,61,13,209.98,3,3,3,9,333,Loyal Customers
10438,118,12,238.25,2,3,3,8,233,At Risk
10439,164,7,128.83,1,1,1,3,111,Lost
10440,20,7,102.75,4,1,1,6,411,New Customers
10441,8,11,217.87,5,2,3,10,523,New Customers
10442,34,15,254.5,3,4,4,11,344,Loyal Customers
10443,90,14,268.8,2,4,4,10,244,At Risk
10444,114,12,180.09,2,3,2,7,232,Need Attention
10445,24,13,183.89,4,3,2,9,432,Loyal Customers
10446,289,15,252.44,1,4,4,9,144,At Risk
10447,6,11,583.42,5,2,5,12,525,New Customers
10448,47,10,183.72,3,2,2,7,322,Promising
10449,4,21,502.37,5,5,5,15,555,Champions
10450,106,8,166.67,2,1,2,5,212,Hibernating
10451,28,7,150.25,4,1,2,7,412,New Customers
10452,2,11,317.17,5,2,4,11,524,New Customers
10453,32,8,80.8,4,1,1,6,411,New Customers
10454,41,12,244.82,3,3,3,9,333,Loyal Customers
10455,46,16,377.28,3,5,5,13,355,Loyal Customers
10456,262,10,78.6,1,2,1,4,121,Lost
10457,350,3,31.95,1,1,1,3,111,Lost
10458,144,7,137.5,1,1,1,3,111,Lost
10459,38,16,256.21,3,5,4,12,354,Loyal Customers
10460,213,13,294.71,1,3,4,8,134,At Risk
10461,52,15,392.17,3,4,5,12,345,Loyal Customers
10462,1,8,205.12,5,1,3,9,513,New Customers
10463,210,11,186.76,1,2,2,5,122,Lost
10464,64,8,424.68,2,1,5,8,215,Need Attention
10465,75,12,160.21,2,3,2,7,232,Need Attention
10466,3,7,312.27,5,1,4,10,514,New Customers
10467,96,13,223.93,2,3,3,8,233,At Risk
10468,80,15,304.58,2,4,4,10,244,At Risk
10469,152,12,211.79,1,3,3,7,133,At Risk
10470,21,16,247.42,4,5,3,12,453,Loyal Customers
10471,5,14,114.4,5,4,1,10,541,Loyal Customers
10472,12,18,581.02,5,5,5,15,555,Champions
10473,42,13,184.9,3,3,2,8,332,Loyal Customers
10474,176,9,84.25,1,1,1,3,111,Lost
10475,47,11,142.05,3,2,1,6,321,Promising
10476,177,12,226.52,1,3,3,7,133,At Risk
10477,107,9,151.75,2,1,2,5,212,Hibernating
10478,31,13,237.8,4,3,3,10,433,Loyal Customers
10479,100,8,183.34,2,1,2,5,212,Hibernating
10480,29,10,369.85,4,2,5,11,425,New Customers
10481,128,6,286.79,2,1,4,7,214,Need Attention
10482,32,13,399.56,4,3,5,12,435,Loyal Customers
10483,67,13,201.69,2,3,3,8,233,At Risk
10484,40,8,183.48,3,1,2,6,312,Promising
10485,71,9,186.65,2,1,2,5,212,Hibernating
10486,3,14,164.4,5,4,2,11,542,Loyal Customers
10487,237,15,194.35,1,4,2,7,142,Cant Lose Them
10488,58,11,314.05,3,2,4,9,324,Potential Loyalists
10489,25,11,290.78,4,2,4,10,424,New Customers
10490,3,16,561.48,5,5,5,15,555,Champions
10491,80,5,75.47,2,1,1,4,211,Hibernating
10492,41,12,266.17,3,3,4,10,334,Loyal Customers
10493,78,5,63.85,2,1,1,4,211,Hibernating
10494,8,7,77.2,5,1,1,7,511,New Customers
10495,88,14,185.15,2,4,2,8,242,Cant Lose Them
10496,13,11,229.66,5,2,3,10,523,New Customers
10497,26,11,536.42,4,2,5,11,425,New Customers
10498,3,12,193.09,5,3,2,10,532,Loyal Customers
10499,102,13,230.7,2,3,3,8,233,At Risk
10500,101,10,240.31,2,2,3,7,223,Need Attention
10501,15,8,185.9,4,1,2,7,412,New Customers
10502,245,4,51.3,1,1,1,3,111,Lost
10503,46,12,237.41,3,3,3,9,333,Loyal Customers
10504,140,17,465.71,1,5,5,11,155,At Risk
10505,68,16,366.65,2,5,5,12,255,At Risk
10506,11,12,146.1,5,3,2,10,532,Loyal Customers
10507,206,8,81.9,1,1,1,3,111,Lost
10508,11,12,256.55,5,3,4,12,534,Loyal Customers
10509,28,13,179.2,4,3,2,9,432,Loyal Customers
10510,34,10,82.3,3,2,1,6,321,Promising
10511,141,15,263.71,1,4,4,9,144,At Risk
10512,20,14,233.95,4,4,3,11,443,Loyal Customers
10513,69,14,236.55,2,4,3,9,243,At Risk
10514,3,10,144.97,5,2,2,9,522,New Customers
10515,261,7,89.42,1,1,1,3,111,Lost
10516,1,17,483.92,5,5,5,15,555,Champions
